Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Tokenized_Text,No_Stopwords,Lemmatized_Text,Cleaned_Text
Contemplating life's mysteries under the starry night sky.         ,Neutral, Stargazer       , Twitter  , #Contemplation #StarryNight               ,28.0,55.0, UK                ,2016,7,2,23,"['contemplating', 'life', ""'s"", 'mysteries', 'under', 'the', 'starry', 'night', 'sky', '.']","['contemplating', 'life', ""'s"", 'mysteries', 'starry', 'night', 'sky', '.']","['contemplate', 'life', ""'s"", 'mystery', 'starry', 'night', 'sky', '.']","['contemplate', 'life', ""'s"", 'mystery', 'starry', 'night', 'sky']"
Joyful reunion with long-lost friends after years of separation.   ,Neutral, FriendshipRenewal , Instagram , #JoyfulReunion #Friendship               ,20.0,40.0, India             ,2020,11,18,17,"['joyful', 'reunion', 'with', 'long-lost', 'friends', 'after', 'years', 'of', 'separation', '.']","['joyful', 'reunion', 'long-lost', 'friends', 'years', 'separation', '.']","['joyful', 'reunion', 'long-lost', 'friend', 'year', 'separation', '.']","['joyful', 'reunion', 'long-lost', 'friend', 'year', 'separation']"
Excitement builds while preparing for a surprise celebration.     ,Positive, CelebrationPlanner , Facebook , #Excitement #SurpriseCelebration         ,30.0,60.0, Australia          ,2023,3,5,15,"['excitement', 'builds', 'while', 'preparing', 'for', 'a', 'surprise', 'celebration', '.']","['excitement', 'builds', 'preparing', 'surprise', 'celebration', '.']","['excitement', 'build', 'prepare', 'surprise', 'celebration', '.']","['excitement', 'build', 'prepare', 'surprise', 'celebration']"
Satisfaction derived from successfully completing a DIY project.  ,Positive, DIYEnthusiast   , Twitter  , #Satisfaction #DIYProject                 ,25.0,50.0, USA               ,2015,12,1,11,"['satisfaction', 'derived', 'from', 'successfully', 'completing', 'a', 'diy', 'project', '.']","['satisfaction', 'derived', 'successfully', 'completing', 'diy', 'project', '.']","['satisfaction', 'derive', 'successfully', 'complete', 'diy', 'project', '.']","['satisfaction', 'derive', 'successfully', 'complete', 'did', 'project']"
Feeling blessed for the supportive community in times of need.    ,Positive, CommunityHelper , Instagram , #Blessed #SupportiveCommunity            ,18.0,35.0, UK                ,2021,9,10,9,"['feeling', 'blessed', 'for', 'the', 'supportive', 'community', 'in', 'times', 'of', 'need', '.']","['feeling', 'blessed', 'supportive', 'community', 'times', 'need', '.']","['feel', 'bless', 'supportive', 'community', 'time', 'need', '.']","['feel', 'bless', 'suppurative', 'community', 'time', 'need']"
Captivated by the serenity of a tranquil garden in full bloom.     ,Neutral, GardenEnthusiast , Facebook , #Serenity #TranquilGarden                ,22.0,45.0, Canada            ,2018,5,12,14,"['captivated', 'by', 'the', 'serenity', 'of', 'a', 'tranquil', 'garden', 'in', 'full', 'bloom', '.']","['captivated', 'serenity', 'tranquil', 'garden', 'full', 'bloom', '.']","['captivate', 'serenity', 'tranquil', 'garden', 'full', 'bloom', '.']","['captivated', 'serenity', 'tranquil', 'garden', 'full', 'bloom']"
Anticipation for an upcoming adventure in an exotic destination.   ,Positive, Wanderlust      , Twitter  , #Anticipation #AdventureAwaits           ,40.0,80.0, India             ,2022,7,25,10,"['anticipation', 'for', 'an', 'upcoming', 'adventure', 'in', 'an', 'exotic', 'destination', '.']","['anticipation', 'upcoming', 'adventure', 'exotic', 'destination', '.']","['anticipation', 'upcoming', 'adventure', 'exotic', 'destination', '.']","['anticipation', 'coming', 'adventure', 'exotic', 'destination']"
Reflecting on personal growth achieved through life experiences.  ,Neutral, GrowthSeeker    , Instagram , #Reflection #PersonalGrowth              ,35.0,70.0, USA               ,2019,3,8,18,"['reflecting', 'on', 'personal', 'growth', 'achieved', 'through', 'life', 'experiences', '.']","['reflecting', 'personal', 'growth', 'achieved', 'life', 'experiences', '.']","['reflect', 'personal', 'growth', 'achieve', 'life', 'experience', '.']","['reflect', 'personal', 'growth', 'achieve', 'life', 'experience']"
Nostalgic memories flood in while revisiting childhood favorites. ,Neutral, ChildhoodMemories , Facebook , #Nostalgia #ChildhoodFavorites           ,20.0,40.0, Australia          ,2017,1,28,21,"['nostalgic', 'memories', 'flood', 'in', 'while', 'revisiting', 'childhood', 'favorites', '.']","['nostalgic', 'memories', 'flood', 'revisiting', 'childhood', 'favorites', '.']","['nostalgic', 'memory', 'flood', 'revisit', 'childhood', 'favorite', '.']","['nostalgic', 'memory', 'flood', 'visit', 'childhood', 'favorite']"
Appreciation for the vibrant culture experienced during travel.   ,Positive, CultureExplorer , Twitter  , #Appreciation #CulturalExperience        ,28.0,55.0, UK                ,2016,11,14,13,"['appreciation', 'for', 'the', 'vibrant', 'culture', 'experienced', 'during', 'travel', '.']","['appreciation', 'vibrant', 'culture', 'experienced', 'travel', '.']","['appreciation', 'vibrant', 'culture', 'experienced', 'travel', '.']","['appreciation', 'vagrant', 'culture', 'experienced', 'travel']"
Confidence soars after overcoming public speaking anxiety.       ,Positive, PublicSpeaker   , Instagram , #Confidence #OvercomingAnxiety          ,15.0,30.0, USA               ,2020,4,2,17,"['confidence', 'soars', 'after', 'overcoming', 'public', 'speaking', 'anxiety', '.']","['confidence', 'soars', 'overcoming', 'public', 'speaking', 'anxiety', '.']","['confidence', 'soar', 'overcome', 'public', 'speak', 'anxiety', '.']","['confidence', 'soar', 'overcome', 'public', 'speak', 'anxiety']"
Contentment in the midst of a family gathering filled with laughter. ,Positive, FamilyCelebration , Facebook , #Contentment #FamilyLaughter             ,25.0,50.0, Canada            ,2023,1,15,19,"['contentment', 'in', 'the', 'midst', 'of', 'a', 'family', 'gathering', 'filled', 'with', 'laughter', '.']","['contentment', 'midst', 'family', 'gathering', 'filled', 'laughter', '.']","['contentment', 'midst', 'family', 'gathering', 'fill', 'laughter', '.']","['contentment', 'midst', 'family', 'gathering', 'fill', 'laughter']"
Enthusiasm for learning new skills and expanding knowledge.      ,Positive, LifelongLearner , Twitter  , #Enthusiasm #SkillBuilding               ,30.0,60.0, India             ,2018,8,7,12,"['enthusiasm', 'for', 'learning', 'new', 'skills', 'and', 'expanding', 'knowledge', '.']","['enthusiasm', 'learning', 'new', 'skills', 'expanding', 'knowledge', '.']","['enthusiasm', 'learn', 'new', 'skill', 'expand', 'knowledge', '.']","['enthusiasm', 'learn', 'new', 'skill', 'expand', 'knowledge']"
Surprise and delight at discovering a hidden gem in the city.    ,Positive, CityExplorer    , Instagram , #Surprise #HiddenGem                      ,18.0,35.0, UK                ,2019,10,18,16,"['surprise', 'and', 'delight', 'at', 'discovering', 'a', 'hidden', 'gem', 'in', 'the', 'city', '.']","['surprise', 'delight', 'discovering', 'hidden', 'gem', 'city', '.']","['surprise', 'delight', 'discover', 'hidden', 'gem', 'city', '.']","['surprise', 'delight', 'discover', 'hidden', 'gem', 'city']"
A sense of accomplishment after completing a challenging workout.,Neutral, FitnessAchiever , Facebook , #Accomplishment #FitnessSuccess         ,22.0,45.0, Australia          ,2022,6,30,7,"['a', 'sense', 'of', 'accomplishment', 'after', 'completing', 'a', 'challenging', 'workout', '.']","['sense', 'accomplishment', 'completing', 'challenging', 'workout', '.']","['sense', 'accomplishment', 'complete', 'challenge', 'workout', '.']","['sense', 'accomplishment', 'complete', 'challenge', 'lookout']"
Wonderment at the beauty of a double rainbow after the rain.     ,Neutral, RainbowChaser   , Twitter  , #Wonderment #DoubleRainbow               ,35.0,70.0, USA               ,2017,6,12,18,"['wonderment', 'at', 'the', 'beauty', 'of', 'a', 'double', 'rainbow', 'after', 'the', 'rain', '.']","['wonderment', 'beauty', 'double', 'rainbow', 'rain', '.']","['wonderment', 'beauty', 'double', 'rainbow', 'rain', '.']","['wonderment', 'beauty', 'double', 'rainbow', 'rain']"
Optimism for a bright future amidst challenging times.           ,Positive, FutureOptimist  , Instagram , #Optimism #BrightFuture                  ,20.0,40.0, Canada            ,2021,7,5,9,"['optimism', 'for', 'a', 'bright', 'future', 'amidst', 'challenging', 'times', '.']","['optimism', 'bright', 'future', 'amidst', 'challenging', 'times', '.']","['optimism', 'bright', 'future', 'amidst', 'challenge', 'time', '.']","['optimism', 'bright', 'future', 'amidst', 'challenge', 'time']"
Pride in achieving a personal milestone in career progression.   ,Positive, CareerAchiever  , Facebook , #Pride #CareerMilestone                  ,28.0,55.0, UK                ,2016,4,15,14,"['pride', 'in', 'achieving', 'a', 'personal', 'milestone', 'in', 'career', 'progression', '.']","['pride', 'achieving', 'personal', 'milestone', 'career', 'progression', '.']","['pride', 'achieve', 'personal', 'milestone', 'career', 'progression', '.']","['pride', 'achieve', 'personal', 'limestone', 'career', 'progression']"
Happiness blooms like flowers in a garden on a sunny day.        ,Positive, SunnyDayEnthusiast , Twitter  , #Happiness #SunnyDay                      ,15.0,30.0, India             ,2020,2,10,11,"['happiness', 'blooms', 'like', 'flowers', 'in', 'a', 'garden', 'on', 'a', 'sunny', 'day', '.']","['happiness', 'blooms', 'like', 'flowers', 'garden', 'sunny', 'day', '.']","['happiness', 'bloom', 'like', 'flower', 'garden', 'sunny', 'day', '.']","['happiness', 'bloom', 'like', 'flower', 'garden', 'sunny', 'day']"
Elation over discovering a rare book in a quaint bookstore.      ,Positive, Bookworm        , Instagram , #Elation #RareBookDiscovery              ,40.0,80.0, USA               ,2018,9,22,16,"['elation', 'over', 'discovering', 'a', 'rare', 'book', 'in', 'a', 'quaint', 'bookstore', '.']","['elation', 'discovering', 'rare', 'book', 'quaint', 'bookstore', '.']","['elation', 'discover', 'rare', 'book', 'quaint', 'bookstore', '.']","['elation', 'discover', 'rare', 'book', 'quaint', 'bookstore']"
Curiosity piqued by the mysteries of an ancient archaeological site.,Neutral, ArchaeologyEnthusiast , Facebook , #Curiosity #AncientMysteries            ,18.0,35.0, Australia          ,2015,11,8,10,"['curiosity', 'piqued', 'by', 'the', 'mysteries', 'of', 'an', 'ancient', 'archaeological', 'site', '.']","['curiosity', 'piqued', 'mysteries', 'ancient', 'archaeological', 'site', '.']","['curiosity', 'pique', 'mystery', 'ancient', 'archaeological', 'site', '.']","['curiosity', 'piquet', 'mystery', 'ancient', 'archaeological', 'site']"
Mesmerized by the cosmic dance of fireflies on a moonlit night.    ,Neutral, NightSkyObserver , Instagram , #Enchantment #CosmicFireflies             ,25.0,50.0, Brazil           ,2022,8,10,22,"['mesmerized', 'by', 'the', 'cosmic', 'dance', 'of', 'fireflies', 'on', 'a', 'moonlit', 'night', '.']","['mesmerized', 'cosmic', 'dance', 'fireflies', 'moonlit', 'night', '.']","['mesmerize', 'cosmic', 'dance', 'firefly', 'moonlit', 'night', '.']","['mesmerize', 'comic', 'dance', 'firmly', 'moonlight', 'night']"
Intrigued by the symphony of colors in an abstract art exhibition. ,Neutral, ArtConnoisseur  , Twitter  , #Intrigue #AbstractArt                   ,18.0,35.0, France           ,2019,4,5,17,"['intrigued', 'by', 'the', 'symphony', 'of', 'colors', 'in', 'an', 'abstract', 'art', 'exhibition', '.']","['intrigued', 'symphony', 'colors', 'abstract', 'art', 'exhibition', '.']","['intrigue', 'symphony', 'color', 'abstract', 'art', 'exhibition', '.']","['intrigue', 'symphony', 'color', 'abstract', 'art', 'exhibition']"
Giggles and joy echo in the air during a children's playdate.      ,Neutral, PlayfulParent   , Facebook , #PlayfulJoy #ChildrensPlaydate           ,22.0,45.0, Japan            ,2020,12,15,15,"['giggles', 'and', 'joy', 'echo', 'in', 'the', 'air', 'during', 'a', 'children', ""'s"", 'playdate', '.']","['giggles', 'joy', 'echo', 'air', 'children', ""'s"", 'playdate', '.']","['giggle', 'joy', 'echo', 'air', 'child', ""'s"", 'playdate', '.']","['giggler', 'joy', 'echo', 'air', 'child', ""'s"", 'playmate']"
Enveloped in serenity while practicing mindfulness by the lake.    ,Neutral, ZenSeeker       , Instagram , #Mindfulness #LakeTranquility            ,35.0,70.0, Canada           ,2017,10,20,8,"['enveloped', 'in', 'serenity', 'while', 'practicing', 'mindfulness', 'by', 'the', 'lake', '.']","['enveloped', 'serenity', 'practicing', 'mindfulness', 'lake', '.']","['envelop', 'serenity', 'practice', 'mindfulness', 'lake', '.']","['envelope', 'serenity', 'practice', 'sinfulness', 'lake']"
Chasing dreams like a kite soaring high in the vast open sky.      ,Neutral, SkyDreamer      , Twitter  , #DreamChaser #SkyHighDreams              ,30.0,60.0, Australia         ,2021,2,28,13,"['chasing', 'dreams', 'like', 'a', 'kite', 'soaring', 'high', 'in', 'the', 'vast', 'open', 'sky', '.']","['chasing', 'dreams', 'like', 'kite', 'soaring', 'high', 'vast', 'open', 'sky', '.']","['chase', 'dream', 'like', 'kite', 'soar', 'high', 'vast', 'open', 'sky', '.']","['chase', 'dream', 'like', 'kite', 'soar', 'high', 'vast', 'open', 'sky']"
Spellbound by the elegance of a ballroom dance under crystal chandeliers. ,Positive, DanceEnthusiast , Facebook , #Elegance #BallroomDance                ,28.0,55.0, UK               ,2018,6,12,20,"['spellbound', 'by', 'the', 'elegance', 'of', 'a', 'ballroom', 'dance', 'under', 'crystal', 'chandeliers', '.']","['spellbound', 'elegance', 'ballroom', 'dance', 'crystal', 'chandeliers', '.']","['spellbound', 'elegance', 'ballroom', 'dance', 'crystal', 'chandelier', '.']","['spellbound', 'elegance', 'ballroom', 'dance', 'crystal', 'chandelier']"
Whimsical delight in a world of fairy tales and magical creatures.  ,Neutral, FairyTaleExplorer , Instagram , #Whimsy #MagicalWorld                    ,20.0,40.0, USA             ,2016,3,8,14,"['whimsical', 'delight', 'in', 'a', 'world', 'of', 'fairy', 'tales', 'and', 'magical', 'creatures', '.']","['whimsical', 'delight', 'world', 'fairy', 'tales', 'magical', 'creatures', '.']","['whimsical', 'delight', 'world', 'fairy', 'tale', 'magical', 'creature', '.']","['whimsical', 'delight', 'world', 'fairy', 'tale', 'magical', 'creature']"
Pensive contemplation amid the ancient ruins of a forgotten civilization. ,Positive, RuinsExplorer   , Twitter  , #Pensive #AncientCivilization           ,18.0,35.0, Greece           ,2023,4,18,17,"['pensive', 'contemplation', 'amid', 'the', 'ancient', 'ruins', 'of', 'a', 'forgotten', 'civilization', '.']","['pensive', 'contemplation', 'amid', 'ancient', 'ruins', 'forgotten', 'civilization', '.']","['pensive', 'contemplation', 'amid', 'ancient', 'ruin', 'forgotten', 'civilization', '.']","['pensive', 'contemplation', 'amid', 'ancient', 'ruin', 'forgotten', 'civilization']"
Embracing the thrill of speed on a rollercoaster's exhilarating twists. ,Positive, RollercoasterFan , Facebook , #Thrill #RollercoasterAdventure        ,22.0,45.0, Germany         ,2020,7,25,12,"['embracing', 'the', 'thrill', 'of', 'speed', 'on', 'a', 'rollercoaster', ""'s"", 'exhilarating', 'twists', '.']","['embracing', 'thrill', 'speed', 'rollercoaster', ""'s"", 'exhilarating', 'twists', '.']","['embrace', 'thrill', 'speed', 'rollercoaster', ""'s"", 'exhilarate', 'twist', '.']","['embrace', 'thrill', 'speed', 'rollercoaster', ""'s"", 'exhilarate', 'twist']"
Harmony resonates as musicians play a melody of unity and togetherness. ,Positive, MusicHarmonist  , Instagram , #Harmony #MusicalUnity                   ,35.0,70.0, Sweden          ,2019,11,30,19,"['harmony', 'resonates', 'as', 'musicians', 'play', 'a', 'melody', 'of', 'unity', 'and', 'togetherness', '.']","['harmony', 'resonates', 'musicians', 'play', 'melody', 'unity', 'togetherness', '.']","['harmony', 'resonates', 'musician', 'play', 'melody', 'unity', 'togetherness', '.']","['harmony', 'resonates', 'musician', 'play', 'melody', 'unity', 'togetherness']"
A burst of creativity in the quiet solitude of an artist's studio.  ,Positive, StudioArtist    , Twitter  , #Creativity #ArtistsHaven               ,15.0,30.0, Italy           ,2015,9,1,16,"['a', 'burst', 'of', 'creativity', 'in', 'the', 'quiet', 'solitude', 'of', 'an', 'artist', ""'s"", 'studio', '.']","['burst', 'creativity', 'quiet', 'solitude', 'artist', ""'s"", 'studio', '.']","['burst', 'creativity', 'quiet', 'solitude', 'artist', ""'s"", 'studio', '.']","['burst', 'creativity', 'quiet', 'solitude', 'artist', ""'s"", 'studio']"
Radiant joy akin to blooming flowers on a sun-kissed spring morning. ,Positive, SpringEnthusiast , Facebook , #Radiance #SpringBlooms                 ,25.0,50.0, Netherlands     ,2022,5,5,10,"['radiant', 'joy', 'akin', 'to', 'blooming', 'flowers', 'on', 'a', 'sun-kissed', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blooming', 'flowers', 'sun-kissed', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blooming', 'flower', 'sun-kissed', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blooming', 'flower', 'sun-kissed', 'spring', 'morning']"
A sense of wonder at the vastness of the cosmos on a stargazing night. ,Neutral, CosmosExplorer  , Instagram , #Wonder #StargazingAdventure            ,40.0,80.0, South Africa    ,2018,7,8,23,"['a', 'sense', 'of', 'wonder', 'at', 'the', 'vastness', 'of', 'the', 'cosmos', 'on', 'a', 'stargazing', 'night', '.']","['sense', 'wonder', 'vastness', 'cosmos', 'stargazing', 'night', '.']","['sense', 'wonder', 'vastness', 'cosmos', 'stargaze', 'night', '.']","['sense', 'wonder', 'fastness', 'common', 'stargaze', 'night']"
Rejuvenated by the salty breeze and the sound of waves at the seaside. ,Neutral, SeaBreezeLover , Twitter  , #Rejuvenation #SeasideEscape            ,18.0,35.0, Spain           ,2021,9,20,14,"['rejuvenated', 'by', 'the', 'salty', 'breeze', 'and', 'the', 'sound', 'of', 'waves', 'at', 'the', 'seaside', '.']","['rejuvenated', 'salty', 'breeze', 'sound', 'waves', 'seaside', '.']","['rejuvenate', 'salty', 'breeze', 'sound', 'wave', 'seaside', '.']","['rejuvenated', 'salt', 'breeze', 'sound', 'wave', 'seaside']"
Whispers of inspiration from the rustling leaves in a serene forest. ,Positive, ForestDreamer   , Facebook , #Inspiration #ForestWhispers            ,28.0,55.0, Portugal        ,2016,11,15,11,"['whispers', 'of', 'inspiration', 'from', 'the', 'rustling', 'leaves', 'in', 'a', 'serene', 'forest', '.']","['whispers', 'inspiration', 'rustling', 'leaves', 'serene', 'forest', '.']","['whisper', 'inspiration', 'rustle', 'leaf', 'serene', 'forest', '.']","['whisper', 'inspiration', 'rustle', 'leaf', 'serene', 'forest']"
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Positive, WinterWarmth    , Instagram , #Coziness #WarmWinterEvening           ,30.0,60.0, Switzerland     ,2020,1,12,18,"['savoring', 'the', 'warmth', 'of', 'a', 'cup', 'of', 'cocoa', 'on', 'a', 'chilly', 'winter', 'evening', '.']","['savoring', 'warmth', 'cup', 'cocoa', 'chilly', 'winter', 'evening', '.']","['savor', 'warmth', 'cup', 'cocoa', 'chilly', 'winter', 'even', '.']","['savor', 'warmth', 'cup', 'cocoa', 'chilly', 'winter', 'even']"
Heartfelt gratitude for the laughter shared during a family reunion. ,Positive, FamilyGatherer , Facebook , #Gratitude #FamilyLaughter              ,22.0,45.0, Austria         ,2017,12,28,19,"['heartfelt', 'gratitude', 'for', 'the', 'laughter', 'shared', 'during', 'a', 'family', 'reunion', '.']","['heartfelt', 'gratitude', 'laughter', 'shared', 'family', 'reunion', '.']","['heartfelt', 'gratitude', 'laughter', 'share', 'family', 'reunion', '.']","['heartfelt', 'gratitude', 'laughter', 'share', 'family', 'reunion']"
"Embarking on a culinary adventure, savoring exotic flavors around the world. ",Positive, CulinaryExplorer , Twitter  , #Adventure #CulinaryJourney             ,35.0,70.0, Belgium         ,2019,3,2,20,"['embarking', 'on', 'a', 'culinary', 'adventure', ',', 'savoring', 'exotic', 'flavors', 'around', 'the', 'world', '.']","['embarking', 'culinary', 'adventure', ',', 'savoring', 'exotic', 'flavors', 'around', 'world', '.']","['embark', 'culinary', 'adventure', ',', 'savor', 'exotic', 'flavor', 'around', 'world', '.']","['embark', 'urinary', 'adventure', 'savor', 'exotic', 'flavor', 'around', 'world']"
Euphoria floods in as the final puzzle piece clicks into place.       ,Positive, PuzzleSolver    , Instagram , #Euphoria #PuzzleCompletion            ,20.0,40.0, Denmark         ,2022,6,8,15,"['euphoria', 'floods', 'in', 'as', 'the', 'final', 'puzzle', 'piece', 'clicks', 'into', 'place', '.']","['euphoria', 'floods', 'final', 'puzzle', 'piece', 'clicks', 'place', '.']","['euphoria', 'flood', 'final', 'puzzle', 'piece', 'click', 'place', '.']","['euphoria', 'flood', 'final', 'puzzle', 'piece', 'click', 'place']"
Awe-inspired by the grandeur of an ancient cathedral's intricate architecture. ,Neutral, CathedralVisitor , Facebook , #Awe #ArchitecturalGrandeur            ,18.0,35.0, Czech Republic  ,2018,8,18,14,"['awe-inspired', 'by', 'the', 'grandeur', 'of', 'an', 'ancient', 'cathedral', ""'s"", 'intricate', 'architecture', '.']","['awe-inspired', 'grandeur', 'ancient', 'cathedral', ""'s"", 'intricate', 'architecture', '.']","['awe-inspired', 'grandeur', 'ancient', 'cathedral', ""'s"", 'intricate', 'architecture', '.']","['awe-inspired', 'grandeur', 'ancient', 'cathedral', ""'s"", 'intricate', 'architecture']"
Captivated by the ethereal beauty of a field filled with fireflies. ,Neutral, NightSkyObserver , Instagram , #Enchantment #FireflyField              ,25.0,50.0, Brazil           ,2022,8,10,22,"['captivated', 'by', 'the', 'ethereal', 'beauty', 'of', 'a', 'field', 'filled', 'with', 'fireflies', '.']","['captivated', 'ethereal', 'beauty', 'field', 'filled', 'fireflies', '.']","['captivate', 'ethereal', 'beauty', 'field', 'fill', 'firefly', '.']","['captivated', 'eternal', 'beauty', 'field', 'fill', 'firmly']"
Immersed in the enchanting melodies of a street musician's violin. ,Neutral, MusicLover      , Twitter  , #Melodic #StreetMusic                   ,18.0,35.0, France           ,2019,4,5,17,"['immersed', 'in', 'the', 'enchanting', 'melodies', 'of', 'a', 'street', 'musician', ""'s"", 'violin', '.']","['immersed', 'enchanting', 'melodies', 'street', 'musician', ""'s"", 'violin', '.']","['immerse', 'enchant', 'melody', 'street', 'musician', ""'s"", 'violin', '.']","['immense', 'merchant', 'melody', 'street', 'musician', ""'s"", 'violin']"
Joyful laughter resonates through a lively summer carnival.         ,Neutral, CarnivalGoer    , Facebook , #FestiveJoy #SummerCarnival             ,22.0,45.0, Japan            ,2020,12,15,15,"['joyful', 'laughter', 'resonates', 'through', 'a', 'lively', 'summer', 'carnival', '.']","['joyful', 'laughter', 'resonates', 'lively', 'summer', 'carnival', '.']","['joyful', 'laughter', 'resonates', 'lively', 'summer', 'carnival', '.']","['joyful', 'laughter', 'resonates', 'lively', 'summer', 'carnival']"
Exploring the universe within during a mindful meditation session. ,Neutral, MindfulExplorer , Instagram , #InnerJourney #MeditationBliss          ,35.0,70.0, Canada           ,2017,10,20,8,"['exploring', 'the', 'universe', 'within', 'during', 'a', 'mindful', 'meditation', 'session', '.']","['exploring', 'universe', 'within', 'mindful', 'meditation', 'session', '.']","['explore', 'universe', 'within', 'mindful', 'meditation', 'session', '.']","['explore', 'universe', 'within', 'mindful', 'meditation', 'session']"
Soaring like a free spirit on the winds of a coastal cliff.        ,Positive, CoastalExplorer , Twitter  , #Freedom #CoastalAdventure              ,30.0,60.0, Australia         ,2021,2,28,13,"['soaring', 'like', 'a', 'free', 'spirit', 'on', 'the', 'winds', 'of', 'a', 'coastal', 'cliff', '.']","['soaring', 'like', 'free', 'spirit', 'winds', 'coastal', 'cliff', '.']","['soar', 'like', 'free', 'spirit', 'wind', 'coastal', 'cliff', '.']","['soar', 'like', 'free', 'spirit', 'wind', 'coastal', 'cliff']"
Dazzled by the elegance of a masquerade ball's dazzling costumes. ,Neutral, MasqueradeAttendee , Facebook , #Dazzle #MasqueradeElegance            ,28.0,55.0, UK               ,2018,6,12,20,"['dazzled', 'by', 'the', 'elegance', 'of', 'a', 'masquerade', 'ball', ""'s"", 'dazzling', 'costumes', '.']","['dazzled', 'elegance', 'masquerade', 'ball', ""'s"", 'dazzling', 'costumes', '.']","['dazzle', 'elegance', 'masquerade', 'ball', ""'s"", 'dazzle', 'costume', '.']","['dazzled', 'elegance', 'masquerade', 'ball', ""'s"", 'dazzled', 'costume']"
Whimsical delight in a world of whimsical fairy tales.             ,Neutral, FairyTaleAdventurer , Instagram , #Whimsy #FairyTaleMagic                 ,20.0,40.0, USA             ,2016,3,8,14,"['whimsical', 'delight', 'in', 'a', 'world', 'of', 'whimsical', 'fairy', 'tales', '.']","['whimsical', 'delight', 'world', 'whimsical', 'fairy', 'tales', '.']","['whimsical', 'delight', 'world', 'whimsical', 'fairy', 'tale', '.']","['whimsical', 'delight', 'world', 'whimsical', 'fairy', 'tale']"
Reflective contemplation amid the ruins of a forgotten era.        ,Neutral, RuinsExplorer   , Twitter  , #Reflection #ForgottenEra               ,18.0,35.0, Greece           ,2023,4,18,17,"['reflective', 'contemplation', 'amid', 'the', 'ruins', 'of', 'a', 'forgotten', 'era', '.']","['reflective', 'contemplation', 'amid', 'ruins', 'forgotten', 'era', '.']","['reflective', 'contemplation', 'amid', 'ruin', 'forgotten', 'era', '.']","['effective', 'contemplation', 'amid', 'ruin', 'forgotten', 'era']"
Riding the adrenaline rush on a rollercoaster's wild twists.      ,Neutral, ThrillSeeker    , Facebook , #Adrenaline #RollercoasterThrills      ,22.0,45.0, Germany         ,2020,7,25,12,"['riding', 'the', 'adrenaline', 'rush', 'on', 'a', 'rollercoaster', ""'s"", 'wild', 'twists', '.']","['riding', 'adrenaline', 'rush', 'rollercoaster', ""'s"", 'wild', 'twists', '.']","['rid', 'adrenaline', 'rush', 'rollercoaster', ""'s"", 'wild', 'twist', '.']","['rid', 'adrenalin', 'rush', 'rollercoaster', ""'s"", 'wild', 'twist']"
Harmony resonates as musicians play a symphony of unity.           ,Positive, MusicHarmonist  , Instagram , #Harmony #MusicalUnity                   ,35.0,70.0, Sweden          ,2019,11,30,19,"['harmony', 'resonates', 'as', 'musicians', 'play', 'a', 'symphony', 'of', 'unity', '.']","['harmony', 'resonates', 'musicians', 'play', 'symphony', 'unity', '.']","['harmony', 'resonates', 'musician', 'play', 'symphony', 'unity', '.']","['harmony', 'resonates', 'musician', 'play', 'symphony', 'unity']"
A burst of artistic creativity in the quietude of an artist's studio. ,Neutral, StudioArtist    , Twitter  , #ArtisticBurst #StudioCreativity       ,15.0,30.0, Italy           ,2015,9,1,16,"['a', 'burst', 'of', 'artistic', 'creativity', 'in', 'the', 'quietude', 'of', 'an', 'artist', ""'s"", 'studio', '.']","['burst', 'artistic', 'creativity', 'quietude', 'artist', ""'s"", 'studio', '.']","['burst', 'artistic', 'creativity', 'quietude', 'artist', ""'s"", 'studio', '.']","['burst', 'artistic', 'creativity', 'quieted', 'artist', ""'s"", 'studio']"
Radiant joy akin to blossoming flowers on a sunlit spring morning. ,Positive, SpringEnthusiast , Facebook , #Radiance #SpringBlooms                 ,25.0,50.0, Netherlands     ,2022,5,5,10,"['radiant', 'joy', 'akin', 'to', 'blossoming', 'flowers', 'on', 'a', 'sunlit', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blossoming', 'flowers', 'sunlit', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blossoming', 'flower', 'sunlit', 'spring', 'morning', '.']","['radiant', 'joy', 'akin', 'blossoming', 'flower', 'submit', 'spring', 'morning']"
Awe-inspired by the vastness of the cosmos on a stargazing night.   ,Neutral, CosmosExplorer  , Instagram , #Wonder #StargazingAdventure            ,40.0,80.0, South Africa    ,2018,7,8,23,"['awe-inspired', 'by', 'the', 'vastness', 'of', 'the', 'cosmos', 'on', 'a', 'stargazing', 'night', '.']","['awe-inspired', 'vastness', 'cosmos', 'stargazing', 'night', '.']","['awe-inspired', 'vastness', 'cosmos', 'stargaze', 'night', '.']","['awe-inspired', 'fastness', 'common', 'stargaze', 'night']"
